n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
7,	24490,	-70,	61.7285690307617,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.897,	SIMPLE,	29.2,	20,	Belt0001,	None,	start,	1299017.1792557,	1299017.37658707
7,	24491,	-70,	70.1883010864258,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.906,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24492,	-70,	64.332405090332,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.914,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24493,	-69,	62.7008895874023,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.92,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24494,	-70,	65.5793914794922,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.924,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24495,	-70,	62.074649810791,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.925,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24496,	-70,	66.5736846923828,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.932,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24497,	-70,	65.1014709472656,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.934,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24498,	-70,	63.7775802612305,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.937,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
7,	24499,	-70,	59.3279838562012,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000e33b2ddd9014000000000,	epc,	3000,	91bf,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583401.944,	SIMPLE,	29.2,	20,	Belt0001,	None,	,	,	
