n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
15,	26775,	-70,	-156.658828735352,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.819,	SIMPLE,	29.2,	18,	Belt0001,	None,	start,	1299252.58658114,	1299256.1781175
15,	26776,	-70,	-151.308334350586,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.825,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26777,	-70,	-149.951477050781,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.841,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26778,	-70,	-152.571792602539,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.845,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26779,	-70,	-149.275802612305,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.85,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26780,	-70,	-148.797882080078,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.854,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26781,	-70,	-151.978515625,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.858,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26782,	-70,	-156.477554321289,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.863,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26783,	-70,	-151.577499389648,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.867,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
15,	26784,	-70,	-148.369400024414,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752583640.873,	SIMPLE,	29.2,	18,	Belt0001,	None,	,	,	
