n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
7,	7721,	-66,	-88.01416015625,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.681,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	start,	1308417.61180196,	1308419.77676009
7,	7722,	-66,	-88.8381576538086,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.686,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7723,	-66,	-94.6391220092773,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.69,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7724,	-66,	-85.6410446166992,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.694,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7725,	-65,	-92.4747467041016,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.699,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7726,	-66,	-90.9860534667969,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.703,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7727,	-65,	-95.2214126586914,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.707,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7728,	-65,	-95.1060485839844,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.712,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7729,	-65,	-95.8916015625,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.716,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7730,	-65,	-90.9585876464844,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.72,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7731,	-64,	-96.0399169921875,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.725,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
7,	7732,	-64,	-96.5178375244141,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000533b2ddd9014000000000,	epc,	3000,	4bcb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753197666.729,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
