n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
11,	52351,	-63,	-105.290687561035,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.865,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	start,	1320453.92441422,	1320455.31469112
11,	52352,	-63,	-103.296607971191,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.869,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52353,	-62,	-112.311164855957,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.874,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52354,	-62,	-107.125457763672,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.878,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52355,	-62,	-115.162208557129,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.882,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52356,	-62,	-110.937835693359,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.887,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52357,	-61,	-116.359748840332,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.891,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52358,	-61,	-115.035858154297,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.895,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52359,	-61,	-119.94140625,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.903,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
11,	52360,	-61,	-118.046203613281,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000733b2ddd9014000000000,	epc,	3000,	eb78,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753706866.905,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
