n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
2,	80,	-69,	33.5752449035645,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.277,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	stop,	1338488.08092366,	1338633.54931573
2,	81,	-69,	37.8930015563965,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.288,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	82,	-69,	38.8158836364746,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.293,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	83,	-68,	47.1547584533691,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.299,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	84,	-68,	46.078067779541,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.306,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	85,	-69,	42.320629119873,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.31,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	86,	-69,	42.9853210449219,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.319,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	87,	-68,	43.693962097168,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.324,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	88,	-68,	46.7207870483398,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.329,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	89,	-68,	53.1150245666504,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.333,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	90,	-68,	46.6713447570801,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.338,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	91,	-68,	53.6753425598145,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.342,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	92,	-67,	45.1112403869629,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.346,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	93,	-68,	52.1152381896973,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.351,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	94,	-67,	54.065372467041,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.355,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	95,	-67,	53.0655860900879,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.365,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	96,	-67,	52.6371040344238,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.369,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	97,	-67,	55.6639289855957,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.373,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	98,	-67,	52.3679313659668,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.378,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	99,	-67,	59.6850471496582,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.382,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	100,	-67,	61.8988609313965,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.386,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	101,	-67,	61.6626472473145,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.391,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	102,	-67,	57.663501739502,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.395,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	103,	-67,	63.6841926574707,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.399,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	104,	-67,	58.091983795166,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.404,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	105,	-67,	63.6512336730957,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.408,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	106,	-67,	64.376350402832,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.412,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	107,	-67,	68.7490463256836,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.417,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	108,	-66,	69.8806762695312,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.421,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
2,	109,	-67,	67.4031829833984,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753964068.425,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
