n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
29,	28323,	-71,	-64.7993392944336,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.89,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	start,	1342216.9985273,	1342220.13538688
29,	28324,	-71,	-63.5633392333984,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.894,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28325,	-71,	-69.0951232910156,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.898,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28326,	-70,	-73.1382217407227,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.903,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28327,	-71,	-71.1166687011719,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.91,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28328,	-71,	-62.2833938598633,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.914,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28329,	-71,	-67.842643737793,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.918,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28330,	-70,	-66.3704299926758,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.923,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28331,	-71,	-70.5508575439453,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.929,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
29,	28332,	-70,	-76.5001373291016,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000933b2ddd9014000000000,	epc,	3000,	b802,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1753967654.934,	SIMPLE,	29.2,	20,	Belt0001,	Container_Water,	,	,	
