n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
3,	30695,	-67,	146.628005981445,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.684,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	start,	1366080.30974797,	1366080.87796117
3,	30696,	-67,	148.891265869141,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.688,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30697,	-67,	152.467422485352,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.694,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30698,	-67,	144.568008422852,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.699,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30699,	-67,	147.907958984375,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.703,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30700,	-67,	150.182189941406,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.707,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30701,	-67,	152.862945556641,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.712,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30702,	-67,	149.847106933594,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.716,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30703,	-67,	152.824493408203,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.722,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
3,	30704,	-67,	147.303695678711,	866.3,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000f33b2ddd9014000000000,	epc,	3000,	49f6,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1759863564.725,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
